Squad number,Position,Name,Nationality,Age,Vision,Technique,Anticipation,Control,Movement,Reflexes,Timing,Stamina,Communication,Concentration,Set Pieces,Awareness,Accuracy,Shooting,Marking,Crossing,Dribbling,Tackling,Handling,Clearance,Distribution,Heading,Pace,Passing,Strength,Rating
35,Goalkeeper,Joost Vandenhoff,Netherlands,31,57,9,20,17,10,12,16,16,18,17,14,9,11,5,9,7,9,14,15,25,13,9,10,13,13,14
1,Goalkeeper,Phil Rolls,England,30,78,22,62,53,33,70,49,46,63,70,45,69,43,17,18,16,19,30,71,72,71,17,62,38,60,58
12,Goalkeeper,Orfeo Lardaro,Italy,23,49,18,41,30,26,43,32,20,42,43,31,36,32,12,14,13,11,24,44,43,47,13,40,24,41,35
4,Defender,Alan Malone,Ireland,27,16,15,22,14,21,15,23,19,22,17,26,27,16,5,24,18,12,25,7,25,15,18,14,11,16,19
16,Defender,Lars Brask,Denmark,23,87,24,40,38,26,39,44,34,40,44,33,45,35,19,44,40,31,42,11,44,35,40,49,35,39,38
33,Defender,Gustavo Augustino,Italy,30,71,12,19,9,14,16,14,18,18,19,8,12,6,4,8,17,17,11,8,28,13,20,10,14,6,14
18,Defender,Gerald Gora,England,24,68,36,39,40,42,45,49,36,41,38,38,44,41,18,45,39,31,43,11,43,37,37,46,39,36,41
5,Defender,Daniel Fabiano,Brazil,20,92,20,16,20,14,12,25,16,16,23,23,24,22,5,21,14,9,25,10,26,20,17,19,15,14,18
3,Defender,Jason Pratt,England,20,65,22,38,28,28,36,39,32,32,29,26,41,33,17,41,31,23,36,10,40,26,31,30,28,30,31
22,Defender,Niles Hikip‰‰,Finland,21,47,22,23,25,29,28,31,19,29,26,21,34,22,12,37,27,18,29,8,33,23,27,23,26,31,26
14,Defender,Desmond Wilmot,Wales,24,90,28,45,31,27,40,49,43,38,40,31,40,31,20,35,41,30,35,11,45,28,37,37,25,27,34
10,Midfielder,Vaino P‰iv‰ns‰de,Finland,26,93,60,58,60,57,51,61,65,57,60,55,58,54,52,54,66,63,52,16,52,64,54,59,63,56,60
6,Midfielder,Tiebout Hogarth,Netherlands,25,55,47,47,44,32,38,47,52,52,50,35,39,42,26,24,52,50,24,14,38,43,45,42,53,32,41
19,Midfielder,Graham Ritchie,Australia,22,31,40,39,36,29,31,41,44,43,44,33,43,37,32,33,44,42,33,11,32,40,40,38,44,38,37
13,Midfielder,Shane Kerr,Australia,28,95,26,60,30,24,32,31,63,60,54,34,25,27,19,24,63,66,25,17,54,33,53,31,24,24,41
8,Midfielder,Wayne Reddington,Wales,28,91,54,55,55,49,45,53,63,55,59,57,51,55,56,51,60,59,55,16,47,60,53,54,61,52,57
21,Midfielder,Gregory Dunlop,Scotland,22,31,27,30,26,20,17,26,31,32,26,27,22,26,17,21,31,30,20,9,17,29,19,22,34,18,23
20,Midfielder,Bodi K·d·r,Hungary,21,65,33,45,34,31,31,36,46,36,43,33,34,37,29,25,47,45,25,12,32,41,35,39,44,39,35
34,Forward,Eddie Latimer,United States,25,55,7,16,9,13,11,5,13,13,13,14,10,15,15,7,18,12,8,5,15,14,12,14,7,7,12
9,Forward,Svenbjorn Egerman,Sweden,32,83,55,56,54,52,50,43,46,47,49,47,47,54,54,40,46,50,17,13,30,41,49,52,39,51,47
7,Forward,Kelvin Jevan,Australia,24,68,45,37,44,28,30,28,34,36,41,32,39,44,44,25,42,34,24,10,25,27,36,39,29,30,35
23,Forward,Tom Silverwood,Wales,23,28,27,38,32,26,33,26,36,41,39,30,31,34,26,22,38,35,14,14,23,26,39,25,23,25,29
11,Forward,Fosco Ianniello,Italy,24,93,49,41,47,39,41,40,35,37,43,39,40,47,44,28,37,35,19,10,16,27,43,40,29,35,38
